#Best run for each simulation of the study Legrain et al., (2023): A gradual change is more likely to have caused the Mid-Pleistocene Transition than an abrupt event;;;;;;;;
;;;;;;;;
Age (ka);ORB simulation Ice volume (m sl);ABR simulation Ice volume (m sl);GRAD simulation Ice volume (m sl);ABRkO simulation Ice volume (m sl);GRADkO simulation Ice volume (m sl);ABRag Ice volume (m sl);GRADag Ice volume (m sl);SYN simulation Ice volume (m sl)
2000;52.28614888;23.75664342;16.1542552;-3.112295372;9.434757034;23.43600815;26.4091979;10.69779097
1999;53.64989274;25.79150092;17.64474653;-2.203854893;10.60590892;24.91229603;27.25488037;12.42349805
1998;55.26167219;27.88314998;19.30132573;-1.296592046;11.81493931;26.46100945;28.2194741;14.28220814
1997;57.08343074;29.97377542;21.07569964;-0.390626276;13.06553129;28.02007971;29.26382615;16.24024291
1996;59.04025572;31.99933378;22.89830467;0.512091146;14.34874718;29.5223;30.33008288;18.25646097
1995;61.03565677;33.89095878;24.68672159;1.408407319;15.6480915;30.89643554;31.34881268;20.28356007
1994;62.97147096;35.5859085;26.36197837;2.29390732;16.94129918;32.07967484;32.25122129;22.26881421
1993;64.75559687;37.03816182;27.85864454;3.162239717;18.19756233;33.0301871;32.9759014;24.15525462
1992;66.30078121;38.2203597;29.12520138;4.005007089;19.37649733;33.72928311;33.46907155;25.88332415
1991;67.53329269;39.12567389;30.12907809;4.812332647;20.43146945;34.18282328;33.68928689;27.39371908
1990;68.39836839;39.76478134;30.85658249;5.574276836;21.31602277;34.41595368;33.6097207;28.63080971
1989;68.87913331;40.16955304;31.32137352;6.284049214;21.99763519;34.47251492;33.23031484;29.54440836
1988;69.00964071;40.39268982;31.57053856;6.938857746;22.46338505;34.41383793;32.58352099;30.09569839
1987;61.84383634;40.494589;31.67145556;7.538452857;22.71464182;34.30669259;31.72126618;30.26213002
1986;53.98038966;40.53023345;27.81420636;8.0855175;22.76803136;34.2082748;30.70433066;30.04079776
1985;46.90154655;36.04203053;23.71225024;8.585677969;22.65493631;34.15859691;29.59592545;29.45085063
1984;40.61863668;31.23415412;20.1692199;9.047172245;22.41887739;34.17685398;28.4557828;28.52388909
1983;35.12994523;26.99075458;17.15789789;9.479995881;22.10956137;34.26335977;27.33450249;27.29655282
1982;30.41780743;23.25202259;14.64194269;9.894587773;21.77591511;34.40949972;26.27352579;25.81138048
1981;26.43257538;19.95501376;12.56651574;10.30097653;21.46006057;34.59482087;25.2958094;24.11753036
1980;23.08438349;17.03040949;10.8527904;10.70844346;21.19423017;34.7827787;24.39872137;22.27036395
1979;22.98344941;14.40942585;9.743438815;11.12579727;21.00465671;34.92805699;23.56489056;20.33127685
1978;23.55652328;13.88221408;10.33123862;11.56819988;20.94759084;34.88838622;22.73533145;18.36518492
1977;24.18810329;13.67262868;10.87367231;12.0374232;21.01128543;34.70432055;21.91530717;16.42849929
1976;24.84311292;13.42822939;11.38139591;12.53320501;21.17378609;34.44104061;21.1177334;14.56453697
1975;25.4434746;13.08464461;11.76882465;13.06555866;21.46441634;34.01113663;20.29574337;12.80878423
1974;25.92685127;12.66937624;12.01295056;13.635606;21.86743227;33.438819;19.43810282;11.18983747
1973;26.22865091;12.22642685;12.10026536;14.24195062;22.3548994;32.76963892;18.53707089;9.72979946
1972;26.29356788;11.81413264;12.03137363;14.88134056;22.89181222;32.06763614;17.59261155;8.44515226
1971;26.11253825;11.50656025;11.84000125;15.55053241;23.44987152;31.41536566;16.62912808;7.3481143
1970;25.7385269;11.39339742;11.60097598;16.24692342;24.01298709;30.91343993;15.70214489;6.449114687
1969;25.26281404;11.56541778;11.41026521;16.96848419;24.57501318;30.66435977;14.88298149;5.759607965
1968;24.81969763;12.16725255;11.42095541;17.70657509;25.10617393;30.83985856;14.27540796;5.292739104
1967;24.51527128;13.16944746;11.67443462;18.46433838;25.64597896;31.40858865;13.91107399;5.067380822
1966;24.45331434;14.49580375;12.18528049;19.24786081;26.25297112;32.28526597;13.80406177;5.107291872
1965;24.76853597;16.17979233;13.04806664;20.05384706;26.93853266;33.51635496;14.01693117;5.418684007
1964;25.56483408;18.17810238;14.29634563;20.88550533;27.74486573;35.05578258;14.57471085;5.985236118
1963;26.9153643;20.44469506;15.94624505;21.7452341;28.70545316;36.85459136;15.48861239;6.783714399
1962;28.83891842;22.92558392;17.98169928;22.63392009;29.83876512;38.85558184;16.74401382;7.78930472
1961;31.26248397;25.54707526;20.3293021;23.54990599;31.13928917;40.98103482;18.28002603;8.978726202
1960;34.04088984;28.21400539;22.86700146;24.49017496;32.5860174;43.12978142;19.99753197;10.33232284
1959;37.025917;30.82086968;25.46470379;25.45295566;34.16353284;45.18762943;21.79316525;11.83440821
1958;40.05206301;33.14788373;27.91600999;26.44731947;35.91226923;46.90200396;23.51989622;13.47353005
1957;43.02897245;35.19307343;30.18025571;27.46435698;37.78409327;48.28152191;25.13292746;15.24026647
1956;45.88225406;36.99855362;32.25079556;28.49147456;39.71296268;49.38777705;26.6083991;17.11549963
1955;48.48405752;38.44549423;33.99980511;29.52924987;41.69835398;50.08964408;27.84758698;19.06615507
1954;50.72339825;39.54469486;35.38485429;30.56565393;43.67479765;50.41335329;28.79992353;21.05082088
1953;52.4675357;40.32136104;36.3618271;31.58559226;45.55907095;50.40431979;29.40938153;23.02105266
1952;53.58275702;40.81511974;36.89522586;32.57197254;47.25817337;50.12631981;29.62358075;24.92212996
1951;54.01411318;41.08856513;37.00215741;33.50941827;48.69687129;49.6678532;29.43190991;26.69430494
1950;53.81161192;41.2269681;35.83511094;34.38599396;49.82904881;49.14015478;28.87726438;28.27463194
1949;53.08648371;40.36046192;30.28465432;35.19280732;50.63064135;48.6576593;28.03145701;29.60017503
1948;46.50035312;35.16713837;25.32225729;35.92451135;50.00447746;48.32002333;26.97868633;30.61207253
1947;39.41588132;30.66812369;20.99670479;36.58108184;44.05786057;41.57621573;25.8150877;31.25825746
1946;33.09525723;26.81406373;17.33047124;37.17075957;38.50673667;34.90918994;24.63405872;31.50055944
1945;27.61237004;23.51721833;14.30704157;37.70786392;33.39049969;29.47776238;23.50872092;31.33012047
1944;23.01608274;20.69321126;11.89870501;38.20747327;28.74433975;25.05300097;22.50299575;30.76854516
1943;19.32692438;18.27664881;10.07460278;38.68311579;24.58793004;21.45231917;21.67404085;29.85084804
1942;16.52350546;16.21304458;8.789567299;39.14634035;20.92340953;18.52610506;21.06250839;28.61631181
1941;14.92570132;14.44411078;7.962747013;39.60611687;17.73136837;16.65754916;20.67300808;27.10878554
